epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4094,1.78593,1.80972,1.13948,0.94877,0.3339,0.76595,0.41727,1.457,2.05936,1.02139,0.000654971,0.000654971,0.000654971
2,58.4592,1.61752,1.14377,1.10104,0.74303,0.75124,0.76242,0.37911,1.50107,1.44219,1.0393,0.00130528,0.00130528,0.00130528
3,86.2349,1.63141,1.0965,1.1048,0.81815,0.78791,0.84788,0.46023,1.49284,1.01161,1.06994,0.00193909,0.00193909,0.00193909
4,113.722,1.54742,1.01029,1.0915,0.82469,0.81813,0.85797,0.48425,1.39285,1.00546,1.04577,0.00192575,0.00192575,0.00192575
5,141.497,1.51117,0.96678,1.07896,0.85106,0.79958,0.88783,0.52787,1.30201,0.87122,1.01439,0.001901,0.001901,0.001901
6,168.944,1.4763,0.92327,1.0795,0.83056,0.77452,0.86205,0.48917,1.32124,0.95478,1.01879,0.00187625,0.00187625,0.00187625
7,195.797,1.4958,0.95162,1.08145,0.8524,0.8473,0.90118,0.5619,1.24707,0.8148,1.01037,0.0018515,0.0018515,0.0018515
8,223.161,1.46316,0.90368,1.06952,0.83589,0.8318,0.89511,0.52528,1.33166,0.87817,1.01851,0.00182675,0.00182675,0.00182675
9,250.227,1.43119,0.88173,1.04799,0.82477,0.84624,0.88374,0.55837,1.20649,0.77359,1.00328,0.001802,0.001802,0.001802
10,277.639,1.42264,0.88569,1.05889,0.86069,0.83563,0.90559,0.57958,1.15326,0.75924,0.99391,0.00177725,0.00177725,0.00177725
11,304.826,1.36807,0.84647,1.0644,0.80868,0.86108,0.87547,0.57017,1.19334,0.75747,1.0032,0.0017525,0.0017525,0.0017525
12,332.069,1.36066,0.83872,1.04161,0.85004,0.84757,0.91003,0.57788,1.22217,0.7191,1.00735,0.00172775,0.00172775,0.00172775
13,359.126,1.34725,0.80804,1.05088,0.78807,0.76776,0.85227,0.54256,1.25478,0.79735,1.01847,0.001703,0.001703,0.001703
14,386.264,1.39681,0.84033,1.05004,0.86398,0.84305,0.91363,0.60066,1.15264,0.70028,0.99076,0.00167825,0.00167825,0.00167825
15,413.204,1.33499,0.80985,1.02894,0.80822,0.83775,0.89767,0.58912,1.12798,0.75253,0.98346,0.0016535,0.0016535,0.0016535
16,440.191,1.35593,0.818,1.0413,0.86925,0.83194,0.89958,0.57384,1.21639,0.7296,0.99685,0.00162875,0.00162875,0.00162875
17,467.298,1.31015,0.78543,1.02938,0.88689,0.8579,0.92312,0.59762,1.15823,0.67859,0.98737,0.001604,0.001604,0.001604
18,494.554,1.31262,0.79585,1.02935,0.8683,0.87398,0.92081,0.60613,1.15831,0.69197,0.99464,0.00157925,0.00157925,0.00157925
19,521.804,1.29268,0.7746,1.01938,0.87243,0.86532,0.92199,0.60458,1.1289,0.67005,0.98403,0.0015545,0.0015545,0.0015545
20,549.03,1.26284,0.7584,1.01609,0.85406,0.86532,0.91721,0.62079,1.10136,0.66507,0.97415,0.00152975,0.00152975,0.00152975
